train_no,train_name,train_type,route_via,direction,distance_km,origin_dep_rtm,station_nad_time,station_ujn_time,station_bng_time,station_ftd_time,station_dwx_time,dest_arr_indb
20498,Firozpur-Rameswaram Humsafar,Hms,Fatehabad,DOWN,116,03:25:00 AM,-,-,04:00,04:32,-,05:10:00 AM
20958,Hisar-Indore SF Express,SF,Fatehabad,DOWN,119,04:15:00 AM,-,-,04:58,05:38,-,06:45:00 AM
19338,Delhi Sarai Rohilla-Indore Express,Exp,Fatehabad,DOWN,119,05:40:00 AM,-,-,06:30,07:15,-,08:30:00 AM
19334,Bikaner-Indore Mahamana Express,Exp,Fatehabad,DOWN,119,05:40:00 AM,-,-,06:30,07:15,-,08:30:00 AM
79310,Ratlam-Dr. Ambedkar Nagar DEMU,DEMU,Fatehabad,DOWN,119,06:35:00 AM,-,-,07:25,08:12,-,09:10:00 AM
79314,Ratlam-Dr. Ambedkar Nagar DEMU,DEMU,Fatehabad,DOWN,119,10:05:00 AM,-,-,10:55,11:42,-,12:40:00 PM
79306,Ratlam-Dr. Ambedkar Nagar DEMU,DEMU,Fatehabad,DOWN,119,01:00:00 PM,-,-,13:50,14:35,-,03:30:00 PM
11125,Ratlam-Gwalior InterCity Express,Exp,Fatehabad,DOWN,119,05:25:00 PM,-,-,18:02,18:38,-,07:25:00 PM
21125,Ratlam-Bhind Express,Exp,Fatehabad,DOWN,119,05:25:00 PM,-,-,18:02,18:38,-,07:25:00 PM
79318,Ratlam-Dr. Ambedkar Nagar DEMU,DEMU,Fatehabad,DOWN,119,07:00:00 PM,-,-,19:55,20:45,-,09:50:00 PM
14801,Jodhpur-Indore Express,Exp,Fatehabad,DOWN,119,08:40:00 PM,-,-,21:28,22:08,-,11:05:00 PM
19309,Shanti Express,Exp,Nagda-Ujjain,DOWN,176,01:40:00 AM,02:20,03:25,-,-,04:45,05:45:00 AM
19316,Veer Bhumi Express,Exp,Nagda-Ujjain,DOWN,176,03:05:00 AM,03:50,05:00,-,-,06:05,07:00:00 AM
22943,Daund-Indore SF Express,SF,Nagda-Ujjain,DOWN,176,04:40:00 AM,05:25,06:30,-,-,07:35,08:25:00 AM
20935,Gandhidham-Indore Weekly SF Express,SF,Nagda-Ujjain,DOWN,176,05:25:00 AM,06:08,07:05,-,-,08:05,08:55:00 AM
12961,Avantika SF Express,SF,Nagda-Ujjain,DOWN,176,05:55:00 AM,06:40,07:30,-,-,08:20,09:05:00 AM
12227,Mumbai Central-Indore Duronto,Drnt,Nagda-Ujjain,DOWN,176,07:05:00 AM,07:48,08:40,-,-,09:30,10:20:00 AM
19319,Veraval-Indore Mahamana Express,Exp,Nagda-Ujjain,DOWN,176,12:45:00 PM,13:30,14:40,-,-,15:55,05:05:00 PM
20915,Charlapalli-Indore Humsafar Express,Hms,Nagda-Ujjain,DOWN,176,08:20:00 PM,21:05,22:15,-,-,23:25,12:15:00 AM
9323,Khadki-Indore Special Fare Special,SF,Nagda-Ujjain,DOWN,176,08:35:00 PM,21:20,22:30,-,-,23:15,11:55:00 PM
20931,Kochuveli-Indore Weekly SF Express,SF,Nagda-Ujjain,DOWN,176,11:35:00 PM,00:20,01:30,-,-,03:20,04:30:00 AM
