train_no,train_name,train_type,route_via,direction,distance_km,origin_dep_rtm,station_nad_time,station_ujn_time,station_bng_time,station_ftd_time,station_dwx_time,dest_arr_indb
20498,Firozpur-Rameswaram Humsafar,Hms,Fatehabad,DOWN,116,03:25:00,,,04:00:00,04:32:00,,05:10:00
20958,Hisar-Indore SF Express,SF,Fatehabad,DOWN,119,04:15:00,,,04:58:00,05:38:00,,06:45:00
19338,Delhi Sarai Rohilla-Indore Express,Exp,Fatehabad,DOWN,119,05:40:00,,,06:30:00,07:15:00,,08:30:00
19334,Bikaner-Indore Mahamana Express,Exp,Fatehabad,DOWN,119,05:40:00,,,06:30:00,07:15:00,,08:30:00
79310,Ratlam-Dr. Ambedkar Nagar DEMU,DEMU,Fatehabad,DOWN,119,06:35:00,,,07:25:00,08:12:00,,09:10:00
79314,Ratlam-Dr. Ambedkar Nagar DEMU,DEMU,Fatehabad,DOWN,119,10:05:00,,,10:55:00,11:42:00,,12:40:00
79306,Ratlam-Dr. Ambedkar Nagar DEMU,DEMU,Fatehabad,DOWN,119,13:00:00,,,13:50:00,14:35:00,,15:30:00
11125,Ratlam-Gwalior InterCity Express,Exp,Fatehabad,DOWN,119,17:25:00,,,18:02:00,18:38:00,,19:25:00
21125,Ratlam-Bhind Express,Exp,Fatehabad,DOWN,119,17:25:00,,,18:02:00,18:38:00,,19:25:00
79318,Ratlam-Dr. Ambedkar Nagar DEMU,DEMU,Fatehabad,DOWN,119,19:00:00,,,19:55:00,20:45:00,,21:50:00
14801,Jodhpur-Indore Express,Exp,Fatehabad,DOWN,119,20:40:00,,,21:28:00,22:08:00,,23:05:00
19309,Shanti Express,Exp,Nagda-Ujjain,DOWN,176,01:40:00,02:20:00,03:25:00,,,04:45:00,05:45:00
19316,Veer Bhumi Express,Exp,Nagda-Ujjain,DOWN,176,03:05:00,03:50:00,05:00:00,,,06:05:00,07:00:00
22943,Daund-Indore SF Express,SF,Nagda-Ujjain,DOWN,176,04:40:00,05:25:00,06:30:00,,,07:35:00,08:25:00
20935,Gandhidham-Indore Weekly SF Express,SF,Nagda-Ujjain,DOWN,176,05:25:00,06:08:00,07:05:00,,,08:05:00,08:55:00
12961,Avantika SF Express,SF,Nagda-Ujjain,DOWN,176,05:55:00,06:40:00,07:30:00,,,08:20:00,09:05:00
12227,Mumbai Central-Indore Duronto,Drnt,Nagda-Ujjain,DOWN,176,07:05:00,07:48:00,08:40:00,,,09:30:00,10:20:00
19319,Veraval-Indore Mahamana Express,Exp,Nagda-Ujjain,DOWN,176,12:45:00,13:30:00,14:40:00,,,15:55:00,17:05:00
20915,Charlapalli-Indore Humsafar Express,Hms,Nagda-Ujjain,DOWN,176,20:20:00,21:05:00,22:15:00,,,23:25:00,00:15:00
9323,Khadki-Indore Special Fare Special,SF,Nagda-Ujjain,DOWN,176,20:35:00,21:20:00,22:30:00,,,23:15:00,23:55:00
20931,Kochuveli-Indore Weekly SF Express,SF,Nagda-Ujjain,DOWN,176,23:35:00,00:20:00,01:30:00,,,03:20:00,04:30:00
