train_no,station_code,arrival_time,departure_time,stop_sequence
20498,RTM,03:25:00,03:25:00,1
20498,BNG,04:00:00,04:00:00,2
20498,FTD,04:32:00,04:32:00,3
20498,INDB,05:10:00,05:10:00,4
20958,RTM,04:15:00,04:15:00,1
20958,BNG,04:58:00,04:58:00,2
20958,FTD,05:38:00,05:38:00,3
20958,INDB,06:45:00,06:45:00,4
19338,RTM,05:40:00,05:40:00,1
19338,BNG,06:30:00,06:30:00,2
19338,FTD,07:15:00,07:15:00,3
19338,INDB,08:30:00,08:30:00,4
19334,RTM,05:40:00,05:40:00,1
19334,BNG,06:30:00,06:30:00,2
19334,FTD,07:15:00,07:15:00,3
19334,INDB,08:30:00,08:30:00,4
79310,RTM,06:35:00,06:35:00,1
79310,BNG,07:25:00,07:25:00,2
79310,FTD,08:12:00,08:12:00,3
79310,INDB,09:10:00,09:10:00,4
79314,RTM,10:05:00,10:05:00,1
79314,BNG,10:55:00,10:55:00,2
79314,FTD,11:42:00,11:42:00,3
79314,INDB,12:40:00,12:40:00,4
79306,RTM,13:00:00,13:00:00,1
79306,BNG,13:50:00,13:50:00,2
79306,FTD,14:35:00,14:35:00,3
79306,INDB,15:30:00,15:30:00,4
11125,RTM,17:25:00,17:25:00,1
11125,BNG,18:02:00,18:02:00,2
11125,FTD,18:38:00,18:38:00,3
11125,INDB,19:25:00,19:25:00,4
21125,RTM,17:25:00,17:25:00,1
21125,BNG,18:02:00,18:02:00,2
21125,FTD,18:38:00,18:38:00,3
21125,INDB,19:25:00,19:25:00,4
79318,RTM,19:00:00,19:00:00,1
79318,BNG,19:55:00,19:55:00,2
79318,FTD,20:45:00,20:45:00,3
79318,INDB,21:50:00,21:50:00,4
14801,RTM,20:40:00,20:40:00,1
14801,BNG,21:28:00,21:28:00,2
14801,FTD,22:08:00,22:08:00,3
14801,INDB,23:05:00,23:05:00,4
19309,RTM,01:40:00,01:40:00,1
19309,NAD,02:20:00,02:20:00,2
19309,UJN,03:25:00,03:25:00,3
19309,DWX,04:45:00,04:45:00,4
19309,INDB,05:45:00,05:45:00,5
19316,RTM,03:05:00,03:05:00,1
19316,NAD,03:50:00,03:50:00,2
19316,UJN,05:00:00,05:00:00,3
19316,DWX,06:05:00,06:05:00,4
19316,INDB,07:00:00,07:00:00,5
22943,RTM,04:40:00,04:40:00,1
22943,NAD,05:25:00,05:25:00,2
22943,UJN,06:30:00,06:30:00,3
22943,DWX,07:35:00,07:35:00,4
22943,INDB,08:25:00,08:25:00,5
20935,RTM,05:25:00,05:25:00,1
20935,NAD,06:08:00,06:08:00,2
20935,UJN,07:05:00,07:05:00,3
20935,DWX,08:05:00,08:05:00,4
20935,INDB,08:55:00,08:55:00,5
12961,RTM,05:55:00,05:55:00,1
12961,NAD,06:40:00,06:40:00,2
12961,UJN,07:30:00,07:30:00,3
12961,DWX,08:20:00,08:20:00,4
12961,INDB,09:05:00,09:05:00,5
12227,RTM,07:05:00,07:05:00,1
12227,NAD,07:48:00,07:48:00,2
12227,UJN,08:40:00,08:40:00,3
12227,DWX,09:30:00,09:30:00,4
12227,INDB,10:20:00,10:20:00,5
19319,RTM,12:45:00,12:45:00,1
19319,NAD,13:30:00,13:30:00,2
19319,UJN,14:40:00,14:40:00,3
19319,DWX,15:55:00,15:55:00,4
19319,INDB,17:05:00,17:05:00,5
20915,RTM,20:20:00,20:20:00,1
20915,NAD,21:05:00,21:05:00,2
20915,UJN,22:15:00,22:15:00,3
20915,DWX,23:25:00,23:25:00,4
20915,INDB,00:15:00,00:15:00,5
9323,RTM,20:35:00,20:35:00,1
9323,NAD,21:20:00,21:20:00,2
9323,UJN,22:30:00,22:30:00,3
9323,DWX,23:15:00,23:15:00,4
9323,INDB,23:55:00,23:55:00,5
20931,RTM,23:35:00,23:35:00,1
20931,NAD,00:20:00,00:20:00,2
20931,UJN,01:30:00,01:30:00,3
20931,DWX,03:20:00,03:20:00,4
20931,INDB,04:30:00,04:30:00,5
14802,INDB,04:20:00,04:20:00,1
14802,FTD,04:58:00,04:58:00,2
14802,BNG,05:32:00,05:32:00,3
14802,RTM,06:25:00,06:25:00,4
79317,INDB,06:30:00,06:30:00,1
79317,FTD,07:22:00,07:22:00,2
79317,BNG,08:08:00,08:08:00,3
79317,RTM,09:20:00,09:20:00,4
11126,INDB,07:25:00,07:25:00,1
11126,FTD,08:12:00,08:12:00,2
11126,BNG,08:50:00,08:50:00,3
